!!!,sillyname,143.98649,Myth Takes,Myth Takes,2007
Dave Eggar,los angeles,240.09098,Music For The Spirit Volume 3,Sorrow's Call,1998
Dave Eggar,los angeles,224.73098,Serenity,Dream Of Ice,1998
Dave Eggar,los angeles,225.04444,Angelic Embrace,Wave,2002
Dave Eggar,los angeles,225.25342,Left Of Blue,Deep Blue,2005
DAVE MATTHEWS BAND,alternative rock,289.09669,Live At Red Rocks 8.15.95,Tripping Billies,1993
DAVE MATTHEWS BAND,alternative rock,293.66812,The Gorge,The Space Between,2001
Dave Valentin,jazz,277.21098,Sunshower,Sunshower,1999
David Arkenstone,filk,314.5922,Return Of The Guardians,The Forgotten Lands,1996
David Arkenstone,filk,272.74404,Chillout Lounge,Drifting,2009
David Arkenstone,filk,272.97914,Chillout Lounge,Big Bounce,2009
David Bowie,british,305.05751,Heroes,Moss Garden (1999 Digital Remaster),1977
David Bowie,british,243.06893,In Bertolt Brecht's Baal,Baal's Hymn,1982
David Cook,american idol,229.45914,David Cook,I Did it for You,2008
David Gilmour Featuring Richard Wright,british,202.1873,Arnold Layne,Arnold Layne,2006
David Tao,taiwanese,260.33587,Zero To Hero,Summer Love Triangle,2009
De La Soul / MF Doom,hip-hop,185.23383,The Grind Date,Rock Co.Kane Flow,2004
Dead Kennedys,punk,182.04689,Give Me Convenience or Give Me Death,The Man with the Dogs,1979
Dead Kennedys,punk,184.94649,Punk of Anagram,Kill the Poor,1980
Dead Kennedys,punk,216.842,Milking The Sacred Cow,Halloween,1982
Dead Prez,hip hop,154.30485,Let's Get Free,Be Healthy,2000
Dead Prez,hip hop,120.86812,Let's Get Free,Assassination,2000
Dean Martin,big band,134.94812,Classic Tracks,Pennies From Heaven,1997
Dean Martin,big band,145.99791,Once In A While,That Old Gang Of Mine,2002
Dean Martin,big band,165.66812,Love From&The Rat Pack,Until You Love Someone,2005
Death Cab for Cutie,indie rock,119.40526,Narrow Stairs,You Can Do Better Than Me (Album Version),2008
Death From Above 1979,canadian,195.29098,You're A Woman_ I'm A Machine,Romantic Rights,2004
Death From Above 1979,canadian,344.842,Romantic Rights,Romantic Rights (Jesper Dahlback Remix),2004
Deep Blue Something,classic pop and rock,199.3922,Home,Gammer Gerten's Needle,1995
Deep Forest,new age,397.76608,Made In Japan,Hunting,1992
Deep Forest,new age,301.06077,Made In Japan,Madazulu,1997
Deep Forest,new age,294.39955,Comparsa,Green And Blue,1997
Deepest Blue,deepest blue,514.45506,Euphoria: A Decade of Trance Anthems,Is It A Sin,2004
Deftones,alternative metal,237.73995,Around The Fur,Lotion (LP Version),1997
Deftones,alternative metal,203.59791,White Pony,Korea (LP Version),2000
Deftones,alternative metal,334.75873,B-Sides & Rarities,No Ordinary Love (Remastered LP Version),2005
Deftones,alternative metal,188.26404,Diamond Eyes,Diamond Eyes (Album Version),2010
DeGarmo & Key,christian rock,203.62404,Collecton,Destined To Win,1988
Delirious,alternative rock,225.14893,Fuse Box Glo / Mezzamorphis,God You Are My God,2000
Der Plan,dA1/4sseldorf,34.32444,Die Letzte Rache (+Bonus),Schauet Her!,1983
Der Plan,dA1/4sseldorf,163.63057,Perlen...,Frisch Verliebt,1988
Der Plan,dA1/4sseldorf,153.59955,Perlen...,Alte Pizza,1988
Descendents,punk,89.23383,Somery,I'm Not A Loser,1982
Descendents,punk,140.66893,Enjoy!,Orgofart,1986
Descendents,punk,183.90159,Enjoy!,Cheer,1986
Devanic,melodic death metal,336.06485,Mask Industries,I Am,2006
Devanic,melodic death metal,210.88608,Mask Industries,You Live_ You Die,2006
Devo,post-punk,159.89506,Q: Are We Not Men?  A: We Are Devo / Devo Live,Sloppy (I Saw My Baby Gettin'),1978
Devo,post-punk,141.08689,Q: Are We Not Men?  A: We Are Devo / Devo Live,Soo Bawlz,1979
Devo,post-punk,205.50485,Duty Now For The Future/New Traditionalists,Going Under,1981
Devo,post-punk,264.33261,Shout,The 4th Dimension (LP Version),1984
Devo,post-punk,175.25506,Q: Are We Not Men?  A: We Are Devo / Devo Live,Be Stiff (Live),1993
Dexys Midnight Runners,uk,434.88608,The Projected Passion Revue,Until I Believe In My Soul,1982
Dexys Midnight Runners,uk,245.36771,The Projected Passion Revue,Breaking Down The Walls Of Heartache,1991
Dexys Midnight Runners,uk,202.39628,The Projected Passion Revue,Spiritual Passion (aka Dubious),2007
Dexy's Midnight Runners,uk,157.75302,It Was Like This,Seven Days Too Long,1980
Diamanda Galas,avant-garde,191.42485,Vena Cava,Vena Cava 8,1993
Die Fantastischen Vier,german,149.99465,Jetzt geht's ab - JubilA$?ums-Edition,BAPse,1991
Die Fantastischen Vier,german,316.55138,FA1/4r Dich Immer Noch Fanta Sie,Was wollen wir noch mehr?,2010
Diesel Boy,punk,124.15955,Venus Envy,Cooler Than You,1998
Diesel Boy,punk,140.06812,Venus Envy,Dragonfly,1998
Diesel Boy,punk,152.65914,Rode Hard and Put Away Wet,Pocket Full Of Stars,2001
Dilated Peoples,hip hop rnb and dance hall,149.91628,Neighborhood Watch,Big Business,2004
Dilated Peoples,hip hop rnb and dance hall,236.59057,Neighborhood Watch,World On Wheels,2004
Dilated Peoples Featuring Black Thought,hip hop rnb and dance hall,236.72118,Expansion Team,Hard Hitters,2001
Dilated Peoples Featuring Capleton,hip hop rnb and dance hall,311.06567,20/20,Firepower (The Tables Have to Turn) (Explicit) (Feat. Capleton),2006
Dilated Peoples Featuring Devin The Dude,hip hop rnb and dance hall,221.28281,This Way,Poisonous (Edited) (Feat. Devin The Dude),2004
Dimmu Borgir,norwegian,282.53995,Death ... Is just the beginning Vol.4,Master Of Disharmony,1996
Dimmu Borgir,norwegian,331.04934,StormblAY=st 2005,Broderskapets ring,1996
Dimmu Borgir,norwegian,186.56608,Alive in Torment,Puritania,2001
Dimmu Borgir,norwegian,313.88689,Puritanical Euphoric Misanthropia,Sympozium,2001
Dimmu Borgir,norwegian,317.36118,In Sorte Diaboli (Deluxe),The Fundamental Alienation,2007
Dimmu Borgir,norwegian,259.02975,In Sorte Diaboli,The Chosen Legacy,2007
Dinosaur Jr,rock and indie,298.57914,Green Mind [Digital Version] [with Bonus Tracks],Green Mind,1991
Dinosaur Jr,rock and indie,194.40281,Without A Sound,On The Brink,1994
Dinosaur Jr.,rock and indie,198.53016,Dinosaur,Does It Float,1985
Dinosaur Jr.,rock and indie,271.12444,Whatever's Cool With Me,Whatever's Cool With Me (LP Version),1991
Dinosaur Jr.,rock and indie,220.70812,Been There All The Time,Been There All The Time,2007
Dionne Warwick,american,226.58567,Pop Masters: I Say A Little Prayer For You,Let It Be Me,2006
Disembowelment,death-doom metal,460.56444,Transcendence into the peripheral,Your Prophetic Throne Of Ivory,1993
Dixie Chicks,country,296.30649,Wide Open Spaces,Give It Up Or Let Me Go,1998
Dixie Chicks,country,201.16853,Fly,Hole In My Head,1999
Dixie Chicks,country,351.84281,Taking The Long Way,Lullaby,2006
DMX,performance name,222.09261,It's Dark And Hell Is Hot,Damien,1998
DMX,performance name,230.50404,It's Dark And Hell Is Hot,Look Thru My Eyes,1998
DMX,performance name,306.05016,The Great Depression,I'ma Bang,2001
DMX / Dyme,performance name,233.40363,...And Then There Was X,Good Girls_ Bad Guys,1999
DMX / Eve / Jadakiss,performance name,265.22077,Grand Champ,We're Back,2003
Dntel,jimmy tamborello,264.77669,Early Works for Me If It Works for You II,Termites in the Bathtub,1998
Dolly Parton,country,152.45016,The Dolly Parton Classics,I'm Not Worth the Tears,1967
Dolly Parton,country,155.21914,Heaven,Letter To Heaven,1971
Dolly Parton,country,294.24281,Legends,Light Of A Clear Blue Morning,1977
Dolly Parton,country,166.24281,The Collection,When Jesus Comes Calling For Me,1998
Dolly Parton,country,125.33506,Just Because I'm A Woman,I'm Running Out Of Love,2008
Don Gibson,american,151.09179,I Can't Stop Loving You,(Prayer Is The Key To Heaven) Faith Unlocks The Door,1959
Don Gibson,american,148.06159,I Can't Stop Loving You,Evening Prayer,1959
Don Gibson,american,184.68526,Sweet Dreams,Release Me,1960
Don Gibson,american,152.58077,Country Greats,A Legend In My Time,1987
Don Gibson,american,142.94159,Lonesome Number One,Who Cares,1987
Don Gibson,american,109.71383,The Road More Traveled,Blue Blue Day,1987
Don Gibson,american,169.63873,Lonesome Number One,I Love No One But You,1991
Donna The Buffalo,folk,281.93914,Live From The American Ballroom,Tides Of Time,1999
Donny Hathaway,rock and indie,283.21914,Donny Hathaway,Little Girl (LP Version),1971
Donny Hathaway,rock and indie,322.87302,A Donny Hathaway Collection,I Love You More Than You'll Ever Know (LP Version),1990
Dons,latvian,240.22159,Lights On,Best Kept Secret,2006
Dons,latvian,200.51546,Lights On,American Lovebite,2006
Dope Stars Inc.,industrial rock,233.22077,Make A Star,Chase The Light,2006
Dream Warriors,rock and indie,262.19057,The Master Plan,Sound Clash,1996
Dream Warriors,rock and indie,414.24934,The Master Plan,Sound Clash (featuring Beenie Man) - FattaSly Extended Mix,1996
Dropkick Murphys,folk punk,229.51138,Do Or Die,Skinhead on the MBTA (Album Version),1997
Dropkick Murphys,folk punk,158.64118,The Gang's All Here,Amazing Grace (Album Version),1999
Dropkick Murphys,folk punk,196.72771,Live On St. Patrick's Day,Bloody Pig Pile (Live),2002
Dropkick Murphys,folk punk,175.96036,The Warrior's Code,The Burden (Album Version),2005
Drowning Pool,new metal,248.78975,Full Circle,Reborn (Explicit),2007
Dub Pistols feat. TK,dance and electronica,264.82893,Rum & Coke,Revitalise,2009
Dub Pistols feat. TK & Ashley Slater,dance and electronica,328.48934,Rum & Coke,Everyday Stranger,2009
Dusminguet,world,173.97506,Vafalungo,Africa,1998
Dusminguet,world,168.69832,Vafalungo,Disco Jonki,1998
Dusminguet,world,199.13098,Postrof,San Cristobal,2001
Dynamite Deluxe,german,86.67383,Deluxe Soundsystem,Zap Zap,2000
Dynamite Deluxe,german,148.29669,Deluxe Soundsystem,Zornig!,2000
Dynamite Deluxe,german,152.92036,Hamburg City Heftig Vol.1,Eimsbush bis 0711,2000
Eagles,rock,240.97914,On The Border,You Never Cry Like A Lover (LP Version),1974
Eagles,rock,427.36281,Long Road Out Of Eden,Last Good Time In Town,2007
Eagles,rock,261.17179,Long Road Out Of Eden,I Don't Want To Hear Any More,2007
Eagles Of Death Metal,dance and electronica,215.64036,Heart On,(I Used To Couldn't Dance) Tight Pants,2008
Eagles Of Death Metal,dance and electronica,225.48853,Heart On (with bonus tracks),As Nice As I Can Be,2009
Earl Hooker,blues,298.91873,Two Bugs And A Roach,Love Ain't A Play Thing,1968
Easy Star All-Stars,rock and indie,196.23138,Easy Star's Lonely Hearts Dub Band,With a Little Dub From My Friends (feat. Luciano and U Roy),2009
Eazy-E,hip hop,208.32608,Eazy Duz It,I'mma Break It Down,1988
Ebru GA1/4ndes,turkish,248.99873,KaASSak,Seni Unuturum,2006
Eddie Calvert,uk,163.52608,Number 1's of the 50's,O Mein Papa,2001
Eddie Palmieri,jazz,266.50077,Eddie Palmieri/Lala Rodrigues/Ismael Quintana - Gold 1973-1976,No Pienses Asi,1973
Eddy Raven,american,204.85179,LIVE IN CONCERT,I WANNA HEAR IT FROM YOU,1995
Edu Lobo,brazilian,309.52444,Meia-Noite,Canto Triste,1967
Egberto Gismonti,jazz and blues,1.2273,Sanfona,Carta De Amor,1981
Eko Fresh,german,234.60526,Ekaveli,Et kA1/4tt wie et kA1/4tt,2007
Eko Fresh feat. Ado,german,215.92771,Ekaveli,Ich bleib so wie ich bin,2007
Eko Fresh feat. G-Style,german,266.57914,Ich bin jung und brauche das Geld,Ich bin jung und brauche das Geld,2003
Eko Fresh feat. Summer Cem & DJ Ses,german,244.63628,Ich bin jung und brauche das Geld,MAPnchengladbach Love,2003
Elakelaiset,finnish,67.3171,Humppakonsertto,Laakista humppa,1995
Elakelaiset,finnish,182.83057,In Humppa We Trust-Live!,Humppa,1996
Elakelaiset,finnish,218.27873,In Humppa We Trust-Live!,Pottajenkka,1996
Elephant Man,hip hop rnb and dance hall,233.58649,Good 2 Go,Head Gone/Wine Up Uh Self (Album Version),2003
Eliane Elias,brazilian,326.42567,Fantasia,No More Blues (Chega de Saudade),1992
Eliane Elias,brazilian,201.22077,Solos And Duets,All The Things You Are,1995
Eliane Elias,brazilian,138.39628,Everything I Love,The Beat Of My Heart,2000
Eliane Elias,brazilian,251.42812,Bossa Nova Stories,The More I See You,2009
Elliot Goldenthal,american,92.86485,Titus - Original Motion Picture Soundtrack,Vortex,2000
Elliot Goldenthal,american,305.50159,Titus - Original Motion Picture Soundtrack,Pickled Heads,2000
Elliot Goldenthal,american,91.74159,Titus - Original Motion Picture Soundtrack,Arrows Of The Gods,2000
Elliot Goldenthal,american,617.82159,S.W.A.T.,Bullet Frenzy,2003
Elmore James,blues,57.39057,Dark And Dreary,Strange Kinda Feeling (Take 4),1993
Eluveitie,folk metal,259.02975,Slania,Primordial Breath,2008
Eluveitie,folk metal,307.69587,Everything Remains (As It Never Was),(Do)Minion,2010
Embrace the End,american,364.14649,Ley Lines,Ley Lines,2008
Embrace the End,american,247.48363,Ley Lines,Intensity In Ten Cities,2008
Eminem,hip-hop,242.62485,The Slim Shady LP,Just Don't Give A Fuck,1998
Eminem,hip-hop,13.58322,The Marshall Mathers LP,Paul,1999
Eminem,hip-hop,289.30567,The Marshall Mathers LP,The Way I Am,2000
Eminem,hip-hop,291.10812,Curtain Call,The Way I Am,2000
Eminem,hip-hop,292.25751,Without Me,The Way I Am,2000
Eminem,hip-hop,312.2673,The Marshall Mathers LP,I'm Back,2000
Eminem,hip-hop,171.72853,Encore,Ricky Ticky Toc,2004
Eminem,hip-hop,397.60934,Beautiful,Beautiful,2009
Ennio Morricone,italian,118.33424,Le Ruffian (Bande originale du film de JosA(c) Giovanni (1982)),Sporco Ma Distinto,1983
Eno,ambient,316.99546,Island Records Post Punk Box Set - Out Come The Freaks,Baby's On Fire,1973
Enrique Iglesias,spanish,263.81016,Enrique Iglesias,Si Juras Regresar,1995
Enrique Iglesias,spanish,229.0673,Cosas Del Amor,Dicen Por Ahi,1998
Enrique Iglesias,spanish,222.14485,Big Summer Tunes,Do You Know? (The Ping Pong Song),2007
Enrique Iglesias,spanish,234.81424,Can You Hear Me,Can You Hear Me,2008
Ensiferum,finnish,291.02975,Victory Songs,Warrior's Quest,1999
Ensiferum,finnish,218.61832,Ensiferum,Hero In A Dream,1999
Ensiferum,finnish,352.49587,Iron,Into Battle,2004
Enter the Haggis,folk,399.882,Let The Wind Blow High,Skyswimmer,1999
Enter the Haggis,folk,381.54404,Let The Wind Blow High,Widow's Walk,1999
EPMD,hip hop,181.39383,Unfinished Business (Explicit),Please Listen To My Demo,1989
EPMD,hip hop,159.26812,Business As Usual,Mr. Bozack,1990
EPMD,hip hop,310.54322,Business As Usual,Give The People,1990
EPMD,hip hop,188.31628,Business As Usual,For My People,1990
EPMD,hip hop,222.14485,Business As Usual,I'm Mad,1990
EPMD,hip hop,291.16036,Def Jam 25_ Vol 16 - Lifer's Picks: 298 to 160 to 825,Head Banger,1992
EPMD,hip hop,161.35791,Back In Business,Jane 5,1997
EPMD,hip hop,196.91057,Out Of Business,Check 1_2,1999
EPMD / Nocturnal,hip hop,204.5122,Back In Business,Dungeon Master,1997
Eric B. & Rakim,rock and indie,282.04363,Paid In Full,I Know You Got Soul,1987
Eric B. & Rakim,rock and indie,335.01995,Gold,Follow The Leader,1988
Eric Burdon,classic pop and rock,262.97424,Soldier Of Fortune,Devil's Daughter,1988
Eric Burdon,classic pop and rock,125.51791,Soldier Of Fortune,Comeback,1988
Eric Burdon,classic pop and rock,318.37995,Wild & Wicked,Ghetto Child,1997
Eric Burdon,classic pop and rock,246.5171,I Used To Be An Animal,Leo's place,1999
Eric Burdon,classic pop and rock,232.64608,My secret life,Motorcycle girl,2004
Eric Burdon,classic pop and rock,288.70485,Soul of a Man,Feeling Blue,2006
Erick Sermon,hip hop rnb and dance hall,223.4771,No Pressure,Safe Sex,1993
Erick Sermon,hip hop rnb and dance hall,235.51955,No Pressure,Stay Real,1993
Erick Sermon,hip hop rnb and dance hall,34.08934,No Pressure,Intro,1993
Erick Sermon,hip hop rnb and dance hall,198.63465,No Pressure,Erick Sermon,1993
Erick Sermon,hip hop rnb and dance hall,228.44036,Music,I'm Hot,2001
Esa Pakarinen,finnish,202.86649,Vuosikirja 1951 - 50 hittiA$?,LentA$?vA$? kalakukko,1990
Esa Pakarinen,finnish,200.202,Esa Pakarinen,HengA$?hA$? tok,1990
Esa Pakarinen,finnish,119.27465,Esa Pakarinen,Miina ja Mikko markkinoilla,1990
Esa Pakarinen,finnish,152.58077,Esa Pakarinen,Vanhapoika-Severi,1990
Eurythmics,british,207.0722,Be Yourself Tonight,Tous Les GarASSons Et Les Filles,1985
Eurythmics,british,269.94893,Revenge,Missionary Man,1986
Eurythmics,british,236.61669,Revenge,A Little Of You,1986
Evanescence,alternative rock,331.36281,The Open Door,Good Enough,2006
Extrabreit,german,248.86812,Das letzte Gefecht/Live,FA1/4r mich soll's rote Rosen regnen,1993
Eyehategod,sludge metal,247.01342,10 Years Of Abuse And Still Broke,Left To Starve,1992
F.I.R.,chinese,232.48934,Let's Smile !,I Am Here,2009
Fabolous,hip hop rnb and dance hall,246.33424,Street Dreams,Trade It All PT2  (Early Fade Amended Version- Bonus Track) (featuring P. Diddy & Jagged Edge),2003
Fabolous,hip hop rnb and dance hall,283.61098,Street Dreams,Change You or Change Me (Amended Version),2003
Fabolous,hip hop rnb and dance hall,319.92118,Real Talk,In My Hood (Explicit Album Version),2004
Faces,uk,279.84934,The Best Of Faces: Good Boys When They're Asleep,Stay With Me,1971
Faces,uk,187.42812,Ooh La La,My Fault (LP Version),1973
Faith Hill,country pop,207.80363,Faith,Better Days (Album Version),1998
Faith Hill,country pop,253.1522,There You'll Be,There Will Come A Day (Album Version),2001
Faith Hill,country pop,231.44444,Cry,Unsaveable (Album Version),2002
Faith Hill,country pop,246.09914,Fireflies,I Want You (Album Version),2005
Faith Hill,country pop,219.84608,The Hits,Red Umbrella (Album Version),2007
Faith Hill,country pop,189.67465,Joy To The World,Silent Night_ Holy Night! (Album Version),2008
Faith Hill & Tim McGraw,country pop,252.89098,Breathe,Let's Make Love (Album Version),1999
Faith Yang,taiwanese,134.97424,Self-Selected,Song 2,2009
Faithless,british,221.98812,Ibiza 1991 - 2009,Salva Mea,1995
Faithless,british,247.14404,Faithless Live In Cannes EP,Drifting Away,1996
Faithless,british,275.12118,Live At Alexandra Palace,Take The Long Way Home,1998
Faithless,british,142.52363,Insomnia - The Best Of,Six,2004
Faithless,british,259.86567,Live At Alexandra Palace,Mass Destruction,2004
Falco,austrian,228.12689,Junge Roemer,Brillantin' Brutal',1984
Falco,austrian,271.09832,Donauinsel Live,Junge RAPmer,1991
Falco,austrian,252.96934,Nachtflug,Monarchy Now,1992
Fall Out Boy,pop rock,203.91138,Infinity On High,The Carpal Tunnel Of Love,2007
Fall Out Boy,pop rock,203.54567,The Take Over_ The Break's Over,Thriller,2007
Fall Out Boy,pop rock,189.80526,**** Live In Phoenix,Dance_ Dance,2008
Fall Out Boy,pop rock,214.33424,Alternative Summer 2009,America's Suitehearts,2008
Fall Out Boy,pop rock,275.3824,Folie A  Deux,(Coffee's For Closers),2008
False Prophets,punk,242.88608,P.E.A.C.E / War,Banana Split Republic,1984
Fat Joe,hip hop rnb and dance hall,277.002,Loyalty,Bust At You [featuring Baby_ Scarface & Tony Sunshine] (edited album version),2002
Fat Joe,hip hop rnb and dance hall,235.17995,Loyalty,Prove Something (explicit album version),2002
Fat Joe,hip hop rnb and dance hall,211.59138,All Or Nothing,Get It Poppin' [Featuring Nelly]  (Album Version - Exp. Version) [Serban Main 4/20/05],2005
Fat Joe,hip hop rnb and dance hall,235.20608,All Or Nothing,My FoFo  (Album Version - Amended),2005
Fehlfarben,ndw,291.13424,Glut Und Asche (Remaster),Magnificent Obsession,1983
Fehlfarben,ndw,330.65751,Die Platte Des Himmlischen Friedens,The Tarnished Angels (remastered),1991
Fever Ray,sverige,280.24118,Live In Lulea,I'm Not Done,2009
Fever Ray,sverige,359.36608,When I Grow Up,When I Grow Up,2009
Fever Ray,sverige,556.06812,When I Grow Up,When I Grow Up,2009
Fever Ray,sverige,335.5424,Live In Lulea,When I Grow Up,2009
Finntroll,finnish,125.46567,Jaktens Tid,Kitteldags,2001
Finntroll,finnish,255.00689,NattfAPdd,Hel Vete,2004
Finntroll,finnish,276.45342,NattfAPdd,Grottans Barn,2004
Finntroll,finnish,278.93506,Ur Jordens Djup,OrmhA$?xan,2007
Finntroll,finnish,214.30812,Nifelvind,Ett NorrskensdAY=d,2010
Five Blind Boys of Alabama,world,131.81342,101 Great Black Gospel_ Vol. 4,I've Got a Home,2008
Flamin' Groovies,rock and indie,199.96689,Teenage Head,Evil Hearted Ada,1971
Flamin' Groovies,rock and indie,199.49669,Step Up,Step Up,1991
Flamin' Groovies,rock and indie,195.39546,Teenage Head,Carol,1999
Fleet Foxes,folk,281.18159,Sun Giant,English House,2008
Foals,math rock,315.27138,Antidotes,Red Socks Pugie,2008
Fontella Bass,classic pop and rock,165.72036,Brothers In Blues & Sisters In Soul,Rescue Me,1965
Fontella Bass,classic pop and rock,204.35546,Very Best Of,You've Lost That Lovin' Feelin',1992
Fontella Bass,classic pop and rock,175.38567,Rescued : The Best Of Fontella Bass,I Can't Rest,2006
Foo Fighters,rock,253.49179,Foo Fighters,X-Static,1995
Foo Fighters,rock,274.65098,Skin And Bones,Next Year,1999
Foo Fighters,rock,270.47138,ONE BY ONE,Overdrive,2002
Foo Fighters,rock,117.002,In Your Honor,Hell,2005
Foo Fighters,rock,287.99955,Razor,Razor,2005
Foo Fighters,rock,313.10322,In Your Honour,Still,2005
Foo Fighters,rock,253.67465,The Pretender,If Ever,2007
Fort Minor,side project,43.38893,The Rising Tied,Introduction (Album Version),2005
Fort Minor (Featuring Mr. Hahn),side project,236.66893,The Rising Tied,Slip Out The Back (Album Version),2005
Fountains Of Wayne,rock and indie,144.71791,Utopia Parkway,Laser Show (LP Version),1999
Fountains Of Wayne,rock and indie,165.61587,Out-Of-State Plates,Janice's Party,2005
Fountains Of Wayne,rock and indie,126.87628,Traffic and Weather,You Gotta Go,2007
Four Tet,uk,136.202,My Angel Rocks Back and Forth,I've got Vilking in Me,2004
Four Tet,uk,393.84771,There Is Love In You,Plastic People,2010
Francis Lai,soundtrack composer,184.45016,Love Story,Search For Jenny,1970
Francis Lai,soundtrack composer,155.16689,Love Story,Concerto No.3 In D: Allegro,1970
Francis Lai,soundtrack composer,243.43465,Le cinA(c)ma de Francis Lai,13 jours en France,1996
Francis Lai,soundtrack composer,123.24526,Le passager de la pluie (Original Soundtrack),La valse du mariage,2003
Franz Ferdinand,scottish,195.13424,Eleanor Put Your Boots On,Eleanor Put Your Boots On,2005
Franz Ferdinand,scottish,214.9873,You Could Have It So Much Better,Do You Want To,2005
Franz Ferdinand,scottish,428.45995,No You Girls,No You Girls,2009
Freddie King,classic pop and rock,286.82404,King Of The Blues,Hide Away,1960
Freddie King,classic pop and rock,332.45995,The Four Kings Of Blues Guitar,Key To The Highway,1971
Freddie King,classic pop and rock,263.65342,Getting Ready... (World),Five Long Years,1971
Freddie King,classic pop and rock,226.06322,Woman Across The River (World),Boogie Man,1973
Fun Lovin' Criminals,rock and indie,221.33506,Come Find Yourself,We Have All The Time In The World,1996
Fun Lovin' Criminals,rock and indie,205.66159,100% Colombian,Love Unlimited (Explicit),1998
Funeral For A Friend,rock and indie,164.54485,Casually Dressed And Deep In Conversation,Your Revolution Is A Joke,2003
Funeral For A Friend,rock and indie,217.49506,Hours,All The Rage (Clean Album Version),2005
Funeral For A Friend,rock and indie,261.14567,Tales Don't Tell Themselves,Crash And Burn [Home Demo],2007
Funeral For A Friend,rock and indie,251.21914,The Great Wide Open,Juneau [Live],2007
Funeral For A Friend,rock and indie,228.64934,Tales Don't Tell Themselves,All Hands On Deck part 2: Open Water [Album Version],2007
Funeral For A Friend,rock and indie,160.23465,Memory And Humanity,Building,2008
Funeral For A Friend,rock and indie,205.16526,Memory And Humanity,Kicking And Screaming,2008
G Unit feat. 50 Cent,hip hop rnb and dance hall,101.43302,Tha Gangsta Mix,Tony Yayo Explosion,2002
Gabriel Yared,lebanese,194.82077,37Adeg2 Le Matin,Chile con carne,1986
Gabriel Yared,lebanese,229.98159,Sylvia,Devon,2003
Gabriel Yared,lebanese,53.31546,Azur et Asmar,La clA(c) parfumA(c)e,2006
Gabriel Yared,lebanese,118.83057,Azur et Asmar,Les chasseurs d'esclaves,2006
Gabriel Yared,lebanese,100.0224,1408,Ship in a Painting,2007
Gal Costa,mpb,252.02893,Caras E Bocas,Me Recuso,1977
Gal Costa,mpb,171.85914,Aquarela Do Brasil,Camisa Amarela,1980
Gal Costa,mpb,193.35791,Classic Latino,Canta Brasil,1981
Gal Costa,mpb,230.47791,Live At The Blue Note,Wave,1999
Galactic,hip hop rnb and dance hall,21.39383,Crazyhorse Mongoose,Cafe deClouet,1998
Galactic,hip hop rnb and dance hall,89.67791,Late for the Future,[Hidden Track],2000
Galactic,hip hop rnb and dance hall,205.08689,From the Corner To the Block,Squarebiz,2007
Galactic,hip hop rnb and dance hall,238.96771,From the Corner To the Block,Think Back,2007
Gall_ France,french,162.79465,En Allemand - Das Beste Auf Deutsch,Mein Herz kann man nicht kaufen,2006
Gang Of Four,uk,273.99791,A Brief History Of The 20th Century,Is It Love,1983
Gang Of Four,uk,196.49261,Hard,A Piece Of My Heart,1983
Gang Starr,hip hop rnb and dance hall,84.63628,Step In The Arena,Say Your Prayers,1991
Gang Starr,hip hop rnb and dance hall,316.02893,Hard To Earn,The Planet (Explicit),1994
Gang Starr,hip hop rnb and dance hall,218.38322,Hard To Earn,Mostly Tha Voice (Explicit),1994
Gang Starr Featuring Jeru The Damaja And Lil Dap,hip hop rnb and dance hall,244.32281,Daily Operation,I'm The Man (Explicit) (Feat. Jeru The Damaja And Lil Dap),1992
Gary Moore,blues rock,304.95302,Still Got The Blues/After Hours/Blues Alive,Nothing's The Same,1992
Gary Moore,blues rock,306.72934,After Hours,Nothing's The Same (2002 Digital Remaster),1992
Gary Moore,blues rock,345.93914,Dark Days In Paradise,What Are We Here For,1997
Gary Moore,blues rock,198.79138,Rockin' Every Night (Gary Moore Live In Japan),Rockin' Every Night (Live),2005
Geddy Lee,canadian,271.46404,My Favorite Headache,Runaway Train (LP Version),2000
Geier Sturzflug,german,186.51383,Deutsche Hits CD1,Bruttosozialprodukt,1982
Geier Sturzflug,german,214.20363,Mahlzeit!,Schwarzarbeit,2006
Gene Autry,country,155.53261,Back In The Saddle Again,Blueberry Hill,1992
Gene Autry,country,163.52608,"Blues Singer 1929-1931 ""Booger Rooger Saturday Nite",Frankie And Johnny,1996
Gene Chandler,classic pop and rock,148.11383,The Duke Of Earl,Festival Of Love,1994
Gene Pitney,american,166.3473,Something's Gotten Hold of My Heart: the Collection,Every Breath I Take,1986
Gene Simmons,hard rock,155.11465,Haunted House:The Complete Gene Simmons on Hi Records,Haunted House,1987
George Harrison,british,238.602,Somewhere In England,Baltimore Oriole (2004 Digital Remaster),1981
George Michael,british,281.33832,Ladies And Gentlemen... The Best Of George Michael,Praying For Time,1990
George Michael,british,266.94485,Amazing,Amazing,2004
George Michael,british,308.76689,Twenty Five,Shoot The Dog,2004
Georges Brassens,french,100.8322,"Georges Brassens: Le siA""cle d'or",Comme hier,1953
Georges Brassens,french,115.25179,"Georges Brassens: Le siA""cle d'or",Colombine,1956
Georges Brassens,french,184.76363,Georges Brassens-N 4,"AuprA""s De Mon Arbre",1956
Gerard Lenorman,french,191.73832,Je Vous Reparlerai d'Amour,Soldats Ne Tirez Pas,1989
